<<<<<<< HEAD
torso_tx,torso_ty,torso_tz,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,end_eff_tx,end_eff_ty,end_eff_tz,goal_tx,goal_ty,goal_tz,elbow_tx,elbow_ty,elbow_tz
-0.2276499513444854,-0.018067596765832583,-0.23385657127365667,-0.7520079251597658,-0.7520079248399001,-0.7520079251087362,-0.7034665811280982,-0.7737753902307895,-0.7117935084586371,-0.6877335902787316,-0.6148878967217142,0.41812529502562534,-0.31449224357961214,-0.13956833401109203,0.370066944447383,-0.16802951684718348,-0.1625254096551645,-0.11843063102415208,-0.25519515505781754,0.13121544187138334
-0.22801810201464845,-0.018701481029842593,-0.2340514850213249,-0.7516986563129818,-0.751582591868817,-0.7522353022037788,-0.7036324591830305,-0.7740411312279238,-0.7113098280097171,-0.6877338331065546,-0.6148590461111603,0.4181882229675571,-0.3145183179574337,-0.13956528385673006,0.36997880090895463,-0.16809919658712014,-0.16247357183758726,-0.11844163230905924,-0.25512322471854576,0.1311765894197059
-0.2277282485108233,-0.018043906246516972,-0.23391695248476208,-0.7520071711524011,-0.7520323532094151,-0.7520147659783503,-0.7033978075505254,-0.773815587119438,-0.7117338912667796,-0.6877498908366781,-0.6148329954238578,0.41822719387183094,-0.3144952345076757,-0.13948646846028234,0.370017831039527,-0.16810463059998826,-0.16250519868087343,-0.11828044793826631,-0.2549608854349362,0.13117826256263254
-0.2279524348564208,-0.018429025251139763,-0.23407806282268206,-0.7523309764252607,-0.7515665858876717,-0.7522981204437995,-0.7033409976852067,-0.7734374109176322,-0.7110510845997255,-0.687777115685344,-0.6147702436801634,0.41803701822802597,-0.31335019767628436,-0.1392036924991027,0.3700210440662093,-0.1680992262002694,-0.16249702545170963,-0.11829144922317347,-0.2548901692347796,0.13114020966598217
-0.22801589583503723,-0.018438693944335394,-0.2341025973167482,-0.7523486154235157,-0.7515738773112869,-0.7523066639113606,-0.7032973034836443,-0.7734501090359853,-0.7110285001315306,-0.6877955691192333,-0.6151496947280399,0.41808938908228765,-0.31327381055806647,-0.1392134648383202,0.37007032034638554,-0.16803788256181662,-0.16248880780282204,-0.11814492336120719,-0.2546367250978273,0.13125072593858889
-0.2279945447545041,-0.018411479460271774,-0.23407279168213435,-0.7523662810291851,-0.7516061944518863,-0.7522117179956687,-0.7034081055231403,-0.7733473425245097,-0.7112711636015367,-0.687805881898423,-0.6151212379723696,0.4178825560420887,-0.31332664041614,-0.13925148812182175,0.3695273484502486,-0.16856210933454507,-0.16239115844351848,-0.11808615606673001,-0.25460280323548234,0.13122194195762038
-0.22812475377129204,-0.018478508823359996,-0.23421299513675842,-0.752438036858169,-0.7516301027907203,-0.7522536081937985,-0.7032066265403067,-0.7735176655131284,-0.7110784397462476,-0.6877516483770799,-0.6150818924617589,0.4179418415666758,-0.31320892814829115,-0.13914840474965018,0.3696206742897772,-0.16869945512027673,-0.16235812497564783,-0.11809376664606008,-0.2545461977008928,0.13116302659739776
-0.22816391716103535,-0.01849415937268284,-0.23424012078137468,-0.7524860450884923,-0.7516491165498111,-0.7522733046544297,-0.7031847335391442,-0.7734564077528083,-0.7110771486129449,-0.6877847247840168,-0.6153567587508022,0.4180024448763997,-0.31332490804691504,-0.13913792169485295,0.3696613331435523,-0.16867006406975094,-0.16232954828672364,-0.11808442369750505,-0.25441487819101216,0.13118134233014356
-0.2282247573759526,-0.0185439834961183,-0.23428451089194224,-0.7525052092823807,-0.7516547041068574,-0.7522577366517602,-0.7031222246232729,-0.7735265183640652,-0.7110745100813561,-0.6877809120910643,-0.6154659853707638,0.417963222260358,-0.31310901338307795,-0.13908728320981611,0.3696483181645034,-0.16872884617080264,-0.16233367932102927,-0.11809526211009203,-0.25435664393321966,0.13132264147128603
-0.22827008030071805,-0.018574929236974125,-0.23429817736027236,-0.7525181290551552,-0.751650178107175,-0.7522636226057038,-0.70310839084065,-0.7735454663375452,-0.7110947491881389,-0.687780250237181,-0.6150198973340252,0.4180916544881972,-0.313295146832025,-0.13887873260696681,0.36966019303731024,-0.1687014095881203,-0.16234432524814657,-0.11806786994713336,-0.25432652736053996,0.1312086160405055
-0.22836260658521956,-0.018658112572920715,-0.23434101278050956,-0.7525013515626352,-0.751691618807314,-0.7522258185631521,-0.7031514987018594,-0.7735189832982653,-0.7111445777535467,-0.6877826400183169,-0.61494843488251,0.418196736747936,-0.313218552421763,-0.13877687818048468,0.36966867720454033,-0.16871223319413264,-0.16232193770739334,-0.11809542498241221,-0.25434534651682117,0.13114408898852004
-0.2284126231941246,-0.018633104268468315,-0.23436239347419185,-0.7525336362620296,-0.7516765494012366,-0.7522623235508837,-0.7030813866099452,-0.7735448977650816,-0.7111186825352773,-0.6877838719253213,-0.6149794220817746,0.41821753998520994,-0.31330066968434045,-0.13875388357017404,0.3696631839653739,-0.1686993218611056,-0.1623352340113593,-0.11802377596805746,-0.25421833572014085,0.1312997653135719
-0.2285228581418145,-0.018722565592033336,-0.23442831234418715,-0.7525159495273782,-0.7516844040965617,-0.7522576353007572,-0.7031140854492305,-0.773524911850724,-0.7111273192102253,-0.6877920273865957,-0.6150057540939938,0.41824670893711713,-0.3134066847582774,-0.13874507365830357,0.36965560299919287,-0.16866742849947713,-0.16234226713428102,-0.11811726467990624,-0.2542148413685418,0.13124629877279181
-0.22859314495130867,-0.018708602992211887,-0.23444288201356633,-0.7524794920835576,-0.7516751438131124,-0.7523081542671242,-0.7031205070606225,-0.7735303044051832,-0.7111153821498053,-0.6877771497404657,-0.6149766873074511,0.41829086214249145,-0.31321590204491456,-0.1386247110136063,0.3696364136785475,-0.16876701752004974,-0.1623521283129461,-0.1181832131630508,-0.2541934606748596,0.13125799596670373
-0.22869907118579813,-0.01880284683936395,-0.23449723694882074,-0.7524979528467013,-0.7516805857474979,-0.7523045249684045,-0.7031651622088748,-0.7734924203034829,-0.7111335883138992,-0.6877547888515467,-0.6149582294315894,0.4182541418375523,-0.31327924457093437,-0.1386353569407237,0.36964665982815137,-0.16878336397837745,-0.16238258543684114,-0.11820694810208998,-0.25424082690691596,0.13122306725728783
-0.2287663374540796,-0.01876913226906296,-0.23449816976301885,-0.752558296878498,-0.7516885382846676,-0.7523279044015883,-0.7030305304682622,-0.7735175648284214,-0.7111615105522275,-0.687785023876823,-0.6151013334941722,0.4182799941167554,-0.3131285580615132,-0.13855306199925144,0.3696341334660631,-0.1687455479869201,-0.1623381953262737,-0.11819040915829282,-0.25415203187920654,0.13125004483615843
-0.2288536518243317,-0.01885314477318556,-0.23456059428141507,-0.7525520697958827,-0.7516837525332476,-0.7523247301385183,-0.7030659670431858,-0.7735263273592532,-0.7111794783304708,-0.6877658597273543,-0.61493320780122,0.41827159878897313,-0.3131836385189217,-0.1385415720973835,0.3696902651902665,-0.16872896462339926,-0.16236305556498043,-0.11831102351475797,-0.2541854503180161,0.13118491071461547
-0.22892561177675275,-0.018830727619283394,-0.23458147155156206,-0.7525903729976764,-0.751699120247383,-0.7523040794829953,-0.7030352863400148,-0.7735223710425274,-0.7112060368832809,-0.687753410359454,-0.6153479814133958,0.41827327193189956,-0.3129507311009012,-0.13847525344987455,0.3696583718286379,-0.16866616994063854,-0.16232830453445946,-0.11826543407165013,-0.2542669901241852,0.13111656356639023
-0.22901239311032018,-0.01892819929969214,-0.23464019442631523,-0.7526046334761652,-0.751672246432987,-0.7523342607455994,-0.7030175169698707,-0.7735371746557848,-0.7111815734607727,-0.6877594588451668,-0.614806065226026,0.41832781935262386,-0.31332133966244324,-0.13844602527166905,0.3696609925923371,-0.16876075433900573,-0.16234459176648885,-0.11833475845379715,-0.25423435643382797,0.13115100365884502
-0.22906799179783877,-0.018900807136733477,-0.23464015000659166,-0.7526727542318652,-0.7516756332592416,-0.7523139980963631,-0.7029242192628339,-0.7735634785355122,-0.7111987949876577,-0.6877966529604921,-0.6151595899618265,0.418320889875724,-0.31301670919719504,-0.13836728390809416,0.3696829951621514,-0.1686645560240102,-0.16230196363829563,-0.11836761424277287,-0.25403282414732586,0.13121496806099708
-0.22915452141963877,-0.018982717107266733,-0.23471347216387295,-0.7525972489043894,-0.7516887756784778,-0.7522968824364864,-0.703038340936349,-0.7735435592507403,-0.7112276130237476,-0.6877825896759634,-0.6151654533653572,0.41833406772709303,-0.31311312961080906,-0.13839489816967132,0.36961861617591163,-0.1688006728640522,-0.16234918180460622,-0.11838797328280959,-0.25409280558091785,0.13115819965408715
-0.2291718747250373,-0.018923327936657852,-0.2346850879604182,-0.7526213640614571,-0.7517062495390066,-0.7522738052054897,-0.702989884940404,-0.7735735499675362,-0.7112493298266725,-0.687763983734356,-0.6153176160902631,0.4183960776614015,-0.3128649566144045,-0.13829659732108657,0.36961183476475745,-0.16879245521516473,-0.16235337206521028,-0.11836041824753074,-0.25407394200491284,0.1312227118994982
-0.22926346819534094,-0.01899706467802742,-0.2347604386184161,-0.7525772059254934,-0.7516679697612139,-0.7522761313627747,-0.703036799571936,-0.7735798516456742,-0.7112154212902448,-0.6877855776427121,-0.6156064005594043,0.4182941788151957,-0.31281602088544336,-0.13848354513163508,0.36965658023311465,-0.16876903121419162,-0.1623642993172445,-0.11841890421709089,-0.25409945373290077,0.13111579362451242
-0.22925381430871983,-0.0189259338937825,-0.23474290763412264,-0.7525705224894433,-0.7517007600459037,-0.7522747743402152,-0.7030395225009999,-0.773570527945666,-0.7112290611067407,-0.6877737842060654,-0.6149387543440546,0.4184117430172989,-0.31311471391428813,-0.13844290108443436,0.3696419513374374,-0.1687774709616976,-0.16237256138585576,-0.11840615575638425,-0.2539820524031179,0.13111311363451494
-0.22930689587856123,-0.018952541308288717,-0.23479231717347004,-0.7525985176057316,-0.7517126543745496,-0.752274881613848,-0.7030170135463352,-0.7735513252991034,-0.7112101116526032,-0.6877778101136915,-0.6150125547536949,0.4184272158877267,-0.3130647121119581,-0.13852001372480638,0.36965619526217575,-0.16875780783066574,-0.16237909108524218,-0.11842081426521078,-0.2538924134006577,0.13122290438496775
-0.22933887807963704,-0.018886711277740664,-0.2347952044555115,-0.752539118292619,-0.7517001186547063,-0.752279491433549,-0.7030394943685082,-0.7735689258742974,-0.711179977312034,-0.6877907170047461,-0.6149634146940046,0.41833542993195394,-0.313004730678366,-0.13867415016610274,0.36964295818450843,-0.16875115967868293,-0.16237448624055018,-0.1184042605148391,-0.2538037220189704,0.13124994119013644
-0.2293839937123585,-0.018924734561242218,-0.234854756498441,-0.7524870846284799,-0.7516819739082837,-0.7523021762903195,-0.703095706048214,-0.7735373686219116,-0.7111429623562608,-0.6877928239803077,-0.6147931302024797,0.4183348228623964,-0.31300607807665204,-0.1387528767231031,0.36971653205355737,-0.1687453851145997,-0.16238110477938394,-0.11846274648439925,-0.25382784192894847,0.13114211971410183
-0.22945645708831486,-0.018889924304423045,-0.23485594102440666,-0.752477674013879,-0.7517108524440372,-0.752258710746688,-0.7030919836753666,-0.7735457654303515,-0.7111368738927968,-0.6877976361170437,-0.6148193496847321,0.4182498627375011,-0.31308138431492627,-0.13888188640735066,0.3696527009105768,-0.16873964016366572,-0.16237550789419564,-0.11842245779498817,-0.2536920064138233,0.1312042332944321
-0.22951862989494343,-0.01890308734921764,-0.23489276497536782,-0.7524156160914625,-0.7516910196000477,-0.7522659425146143,-0.7031479851017135,-0.7735625886603804,-0.7111021110170161,-0.6877972526267623,-0.6149455890588772,0.4182339012501124,-0.3130151100871412,-0.13893989856652444,0.36965481825074065,-0.16875549800503253,-0.16241974993901742,-0.11844255031668272,-0.2537584879336524,0.13102159419708403
-0.2295848597030049,-0.01888890265077736,-0.23487643332361463,-0.7524608183278386,-0.7517055218995123,-0.752275835971612,-0.7030939944081935,-0.7735405164996657,-0.7110742850214227,-0.6878018722780288,-0.6149094624975785,0.41829558543978007,-0.31298748101898943,-0.138888208814693,0.3696552920611269,-0.16877973636760712,-0.16244773436495874,-0.11841690532952365,-0.25353280612402307,0.13119336526869607
-0.22964433771306147,-0.0189203370085943,-0.2348704366609129,-0.7524909319392036,-0.7516959951421406,-0.7522928011374648,-0.7030542195069203,-0.7735499882654195,-0.7110360203907558,-0.6877650009460291,-0.6148419770919934,0.418215496677919,-0.3129570831213927,-0.13903778483102114,0.3696992675876063,-0.16872541104550176,-0.16240892633300508,-0.11846439001417663,-0.253629122891615,0.1311245591166592
-0.22971714164023294,-0.018930820063391307,-0.23488573185244588,-0.7524670604835467,-0.7516919682572805,-0.7522771905658934,-0.7030923449557862,-0.7735265435352419,-0.7110359078607891,-0.6877933377684453,-0.6148584923452712,0.4182074715145008,-0.3130088617126717,-0.13909635964002887,0.3696641611992957,-0.16874532588830138,-0.16242752339066768,-0.11842980185597618,-0.2536392061688988,0.13101768526139712
-0.22977325855786135,-0.01892458649549633,-0.23488927062376863,-0.7524209634562561,-0.7516921622530205,-0.752287788801034,-0.7031287187868802,-0.7735249222153262,-0.7110504582816211,-0.6878055724410144,-0.6148254277835941,0.41822380316625396,-0.3130368609451877,-0.139114038690068,0.36968651912689965,-0.16878173525517437,-0.16245915023395385,-0.11852668127340193,-0.25362509550333145,0.13098739100982226
-0.2298588257523142,-0.01899731638979496,-0.23488232634029438,-0.7523913896926,-0.7516697959300888,-0.7522939496094214,-0.7031731888529502,-0.7735635777395619,-0.7110384916080519,-0.687790632607271,-0.6148825308190891,0.41818156000899953,-0.3129701869398891,-0.13913620413220273,0.3697001559820807,-0.16874782819940415,-0.16243467496618602,-0.11854704031343866,-0.2536842921884711,0.1309301043728026
-0.22990525917017246,-0.01899898953272161,-0.23487206538411576,-0.7524640658094198,-0.7516769729284957,-0.7523080538489354,-0.703132655855059,-0.7734896573966676,-0.7110649687247019,-0.6878086610924701,-0.6148581991750948,0.4181955670285449,-0.31287188609130423,-0.1391205091631561,0.3696806853365182,-0.168791892565331,-0.16245581875467507,-0.11868801370994042,-0.2537775291885521,0.13080811300490214
-0.22999769661522684,-0.019076753662374824,-0.23491374589153646,-0.7523293186663651,-0.7516777483784192,-0.7523323326778784,-0.7032649096597952,-0.7734933960567472,-0.7110763327706859,-0.6878110508736062,-0.6148375602907985,0.4180877751656593,-0.31297055710425337,-0.13921493068920288,0.36964664502157674,-0.16876418946430638,-0.16242672383564083,-0.11880864287298021,-0.25381111049968186,0.1307430973359558
-0.23003296587585775,-0.01903878960517169,-0.23489354972382004,-0.7524567577580213,-0.7516821285481485,-0.7523260462060926,-0.7031603263816195,-0.7734722019259045,-0.7111052707400298,-0.6877902713268514,-0.6147421156304487,0.4180476197354195,-0.3128688359369425,-0.13923206189598292,0.3696540779220121,-0.16876503343905702,-0.16243310546928147,-0.1189568122647241,-0.2538627262186406,0.13061302157833898
-0.2301426085605648,-0.019148713614795643,-0.2349744232341333,-0.7523765608193266,-0.7516672404633833,-0.7523278246533776,-0.703245362020045,-0.7734759494699287,-0.711124701407841,-0.6877874240225612,-0.6147826130925611,0.41798164163912577,-0.3128441829902797,-0.1393117360737559,0.3697195525947703,-0.16876005843000075,-0.16244197460745025,-0.11898420442768265,-0.253893272181983,0.13072734314061107
-0.2301744278893203,-0.019149690848717538,-0.23497571140612117,-0.7523531427261766,-0.7516624906623264,-0.7523283280769131,-0.7032899031576731,-0.7734590270358501,-0.7111408183642628,-0.6877972348588728,-0.614720144154441,0.41789854714262664,-0.31279732018175876,-0.1393692596159689,0.36967144603398516,-0.16875105603266083,-0.16238331095899516,-0.1190355092085752,-0.2539607457423084,0.13062871654738561
-0.23023399473882433,-0.019212322659157843,-0.23501709578205032,-0.7523358547473851,-0.7516386768486644,-0.7523495231553764,-0.7032958968590599,-0.7734520590618565,-0.7110976942158214,-0.6878128928114828,-0.614797671378901,0.41785039616211805,-0.31275563967433806,-0.1394402719476171,0.3696126195132099,-0.16882762082977376,-0.1624469496165064,-0.1191360310433458,-0.2539280380190785,0.13074648804153277
-0.23025506449444055,-0.01916266140804268,-0.2349931683575418,-0.7523429009445122,-0.7516632017924898,-0.7523337110070988,-0.7032872883166037,-0.7734342038135799,-0.7111331337520599,-0.6878108924432582,-0.6147737113799283,0.4177921322911764,-0.31258838460797056,-0.13948977032641208,0.36964011532219043,-0.16878078763440185,-0.16242481378752094,-0.11920535542549293,-0.2538947676460148,0.13078052835647425
-0.23032484788039942,-0.019250508814979472,-0.23505186161914593,-0.75232350153338,-0.7516525349140695,-0.7523285484283558,-0.7033093456707438,-0.7734407024191596,-0.7111106544105443,-0.6878087691804644,-0.6147223236822181,0.4177064614507018,-0.3127600520335605,-0.13958562809019226,0.36970482005307104,-0.1687249816548393,-0.16246095663605187,-0.11930780211495773,-0.2540380656747244,0.13075991760466987
-0.23037350228444342,-0.01920841372347082,-0.2350426963494857,-0.7522492315480338,-0.7516377700792309,-0.7523371789881884,-0.7033755206944793,-0.7734475460179269,-0.7111073614283595,-0.6878305481710028,-0.6146356341494128,0.41765228419434197,-0.3126151104750734,-0.13961642576530242,0.36966694483531537,-0.1687295420798074,-0.1624335052467949,-0.11952827201033778,-0.25418653119795986,0.13024216130502952
-0.23043197344742905,-0.01929590577261786,-0.23507094729376943,-0.7522644662250966,-0.7516313440406732,-0.7523390750589019,-0.7033669062293932,-0.7734493820331738,-0.711096371988712,-0.6878247869328367,-0.6145132933463526,0.41758537328385037,-0.31267666140556993,-0.13972211509459886,0.36966830704017584,-0.16876136140856313,-0.16243580026585358,-0.11959040039724267,-0.25419349028800875,0.13028333838891482
-0.23045787014635588,-0.01925854878497224,-0.23505720679256648,-0.7522713503494585,-0.7516273004984168,-0.7523524532728383,-0.7033690354148167,-0.773455104774246,-0.7110710675527682,-0.6878197541781397,-0.6145038275032286,0.4174699116153364,-0.31261392594910753,-0.1398198088736261,0.3696474889963275,-0.1687572303742575,-0.16242888559552848,-0.11964171998470996,-0.254260105067009,0.13018414914585552
-0.23051444606779614,-0.019338904065175577,-0.23510457302462284,-0.7521957064768643,-0.7516146244270532,-0.7523366175673004,-0.7034627403026543,-0.773462511022847,-0.7110941302733218,-0.6878218552310714,-0.6144370187581014,0.4174902558487985,-0.31265505861326914,-0.13977521147101468,0.3696539890825645,-0.16878711004174418,-0.16244959999335484,-0.11981030764278877,-0.2543721316102223,0.12999755669309687
