torso_tx,torso_ty,torso_tz,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,end_eff_tx,end_eff_ty,end_eff_tz,goal_tx,goal_ty,goal_tz,elbow_tx,elbow_ty,elbow_tz
352.87655,495.12116,349.24699,-0.27534455,0.21403028,-0.17425866,32.998814,-14.557495,27.626791,43.366325,92.568565,790.35284,296.48506,414.05122,757.54371,393.91449,398.1935,427.89463,336.50554,596.37664
352.83182,495.13074,349.25802,-0.30587304,0.20423578,-0.18094046,33.035278,-14.542588,27.645584,43.363205,92.592964,790.3945,296.50372,414.08613,757.54403,393.89812,398.1746,427.91195,336.65796,596.49265
352.79165,495.10951,349.26207,-0.32621104,0.21066992,-0.19239832,33.062141,-14.548985,27.671427,43.388107,92.638542,790.34041,296.52425,413.98511,757.57373,393.93481,398.20081,427.87988,336.59291,596.44618
352.74248,495.10243,349.25174,-0.31008884,0.21338958,-0.18185532,33.036392,-14.533151,27.671503,43.368969,92.627388,790.33499,296.48928,413.94555,757.55002,393.92136,398.18825,427.90324,336.5861,596.374
352.70458,495.10664,349.24935,-0.27895603,0.21325856,-0.18901311,33.011826,-14.532056,27.661676,43.360706,92.649719,790.34602,296.47037,413.93361,757.56512,393.89677,398.16689,427.83781,336.59563,596.35354
352.64679,495.05752,349.25404,-0.25898263,0.22836423,-0.19317397,32.981792,-14.558163,27.669758,43.370796,92.611153,790.31749,296.5154,413.91864,757.57433,393.91967,398.18342,427.82406,336.55565,596.31485
352.61543,495.05639,349.26097,-0.30806631,0.22351706,-0.20269963,33.009167,-14.508239,27.651876,43.35862,92.627586,790.32695,296.58179,413.92924,757.56118,393.88991,398.16914,427.72885,336.49268,596.23246
352.553,495.00387,349.23282,-0.21706137,0.22299334,-0.21909696,32.919846,-14.510764,27.644201,43.357006,92.641525,790.25415,296.51515,413.86547,757.53819,393.90862,398.18879,427.64738,336.47,596.18855
352.52918,495.02951,349.24646,-0.30313063,0.22003508,-0.21485123,32.990479,-14.49645,27.624657,43.37104,92.705986,790.22703,296.58385,413.8539,757.54321,393.90805,398.18448,427.54731,336.43514,596.1007
352.45513,494.95527,349.19184,-0.24896757,0.23009013,-0.21605235,32.933048,-14.498981,27.611534,43.372963,92.678635,790.18247,296.6005,413.80009,757.58743,393.91141,398.17849,427.52881,336.41451,596.17791
352.43364,494.95461,349.19097,-0.23315156,0.23329803,-0.21639235,32.902966,-14.487552,27.600649,43.366337,92.720825,790.12635,296.63215,413.76124,757.55494,393.91749,398.21811,427.49416,336.36894,596.1113
352.39341,494.91231,349.16302,-0.22147568,0.2493813,-0.23070699,32.898918,-14.482846,27.629774,43.355762,92.668465,790.09383,296.6603,413.71328,757.51521,393.86578,398.17513,427.42627,336.39103,596.19084
352.37918,494.94585,349.17918,-0.22623451,0.23281775,-0.22002785,32.904732,-14.470787,27.605839,43.357113,92.684647,790.05448,296.77326,413.67985,757.53378,393.89741,398.19008,427.37945,336.4135,596.21383
352.33205,494.88652,349.13954,-0.21313262,0.2400219,-0.21654117,32.889835,-14.475176,27.621021,43.358547,92.719353,789.99662,296.65732,413.61511,757.57748,393.9351,398.16567,427.31026,336.31672,596.19991
352.29919,494.91495,349.14573,-0.16297248,0.24999371,-0.22237004,32.845142,-14.479798,27.623245,43.343838,92.777901,789.96003,296.75521,413.59431,757.5519,393.93202,398.18421,427.16136,336.21645,595.85023
352.2597,494.85586,349.12665,-0.17326161,0.2543337,-0.2236506,32.85096,-14.481038,27.630667,43.347729,92.860527,789.91484,296.71364,413.52293,757.55282,393.91053,398.18266,427.1194,336.21175,595.87804
352.24221,494.88109,349.13593,-0.17791098,0.25706461,-0.23268592,32.849522,-14.484903,27.647757,43.351128,92.86692,789.83686,296.75601,413.45695,757.53876,393.91332,398.18733,427.08474,336.16676,595.81105
352.204,494.82682,349.10394,-0.12682295,0.26562572,-0.22199087,32.786236,-14.489905,27.632181,43.349709,92.912041,789.8506,296.72823,413.48707,757.54315,393.89314,398.17334,426.97088,336.0911,595.68503
352.18798,494.83816,349.12649,-0.16064261,0.26569486,-0.23399808,32.822586,-14.479933,27.631506,43.360165,92.880905,789.82805,296.80442,413.48524,757.50392,393.88929,398.18547,426.99693,336.05615,595.75425
