time,torso_tx,torso_ty,torso_tz,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,end_eff_tx,end_eff_ty,end_eff_tz,goal_tx,goal_ty,goal_tz,elbow_tx,elbow_ty,elbow_tz,mouth_tx,mouth_ty,mouth_tz
0.22,360.9343,500.4034,380.0148,-5.17489,7.23827,-4.140956,-4.258504,-37.71023,6.296258,87.64912,82.5093,593.9096,236.3687,593.5127,610.4093,246.0846,539.731,194.732,300.6081,696.4451,437.164,756.609,384.2535
0.23,360.9313,500.3983,380.0016,-5.108623,7.239299,-4.142186,-4.332886,-37.68427,6.274465,87.64261,82.47995,593.9091,236.3349,593.4925,610.3757,246.0896,539.7014,194.6945,300.534,696.3772,437.1315,756.6347,384.3464
0.24,360.9348,500.3967,379.9845,-5.147013,7.255046,-4.136557,-4.310754,-37.68302,6.252959,87.65205,82.54217,593.8722,236.2786,593.4245,610.4699,246.0144,539.6589,194.6485,300.473,696.2768,437.1252,756.6595,384.3994
0.25,360.9079,500.3668,379.9584,-5.128129,7.257389,-4.14782,-4.330413,-37.66858,6.267507,87.64978,82.53632,593.8549,236.3103,593.3618,610.4831,246.0437,539.6422,194.6203,300.3965,696.222,437.0945,756.6967,384.4285
0.26,360.8878,500.3557,379.9528,-5.118326,7.245476,-4.127882,-4.342509,-37.65731,6.246694,87.65434,82.53876,593.8291,236.224,593.2877,610.4288,245.9892,539.6394,194.6135,300.3109,696.1632,437.1065,756.6907,384.4554
0.27,360.8743,500.3565,379.943,-5.174628,7.274508,-4.135986,-4.266338,-37.65062,6.265069,87.63219,82.58406,593.8373,236.2444,593.3055,610.4621,245.9339,539.6472,194.5775,300.2207,696.1156,437.1058,756.6864,384.5044
0.28,360.8373,500.3123,379.9074,-5.172966,7.277627,-4.148647,-4.268765,-37.6479,6.265134,87.6548,82.56592,593.8274,236.1972,593.2752,610.4691,246.004,539.5923,194.562,300.1906,696.0524,437.0971,756.6928,384.5217
0.29,360.8025,500.3015,379.8912,-5.206622,7.282037,-4.148466,-4.207719,-37.64626,6.265686,87.63922,82.5413,593.837,236.2332,593.2549,610.4281,245.9726,539.6455,194.543,300.0956,695.9624,437.0576,756.6589,384.5532
0.3,360.7534,500.2515,379.8676,-5.24184,7.311054,-4.154495,-4.174424,-37.66775,6.258851,87.63745,82.63305,593.81,236.1536,593.2309,610.4662,245.989,539.5462,194.4841,300.0382,695.9017,437.0426,756.667,384.6758
0.31,360.7067,500.2244,379.8509,-5.183968,7.283698,-4.146924,-4.247174,-37.65775,6.235222,87.64191,82.6451,593.8138,236.1434,593.2607,610.4313,246.0349,539.5511,194.4771,299.9468,695.818,437.0008,756.6633,384.7454
0.32,360.6552,500.1875,379.8137,-5.240336,7.331614,-4.1697,-4.169443,-37.69794,6.236287,87.64985,82.6813,593.7792,236.1422,593.298,610.4537,246.0445,539.5066,194.4658,299.8938,695.7454,436.9617,756.5873,384.7796
0.33,360.935,500.342,380.324,-6.62706,7.826942,-4.153472,-2.646334,-38.1072,6.418479,87.6534,82.65411,593.8086,236.1365,593.3405,610.4347,246.0738,539.5171,194.4088,299.7685,695.678,436.9276,756.5977,384.9181
0.34,360.853,500.2884,380.2689,-6.542624,7.807323,-4.15056,-2.758607,-38.08116,6.375029,87.65997,82.60957,593.8275,236.086,593.4243,610.4244,246.0122,539.4888,194.3828,299.7254,695.6212,436.9299,756.5632,384.9694
0.35,360.6594,500.1703,380.1677,-6.682676,7.974849,-4.321209,-2.456768,-38.24552,6.580079,87.64677,82.62305,593.7923,236.0877,593.4335,610.3595,245.9813,539.5609,194.3328,299.6658,695.5466,436.8715,756.51,385.0024
0.36,360.7097,500.2313,380.2167,-6.548684,7.810237,-4.171878,-2.74457,-38.1035,6.363586,87.66528,82.705,593.709,236.096,593.4016,610.3859,245.9877,539.5709,194.2686,299.5709,695.5247,436.8579,756.4626,385.0551
0.37,360.6295,500.1976,380.1741,-6.510224,7.80484,-4.166235,-2.788854,-38.07292,6.323348,87.64326,82.76436,593.7384,236.0658,593.4522,610.3904,246.0429,539.5996,194.221,299.5481,695.4515,436.8181,756.3942,385.087
0.38,360.562,500.1618,380.1488,-6.45998,7.814891,-4.160828,-2.860986,-38.08919,6.284325,87.65472,82.78864,593.703,236.0275,593.4944,610.408,246.023,539.6891,194.1436,299.4388,695.4235,436.7876,756.3324,385.1298
0.39,360.4596,500.1166,380.1018,-6.437049,7.830884,-4.173654,-2.888802,-38.11214,6.279222,87.67764,82.78007,593.6384,236.0278,593.5115,610.3709,246.0209,539.7936,194.107,299.4172,695.3472,436.7779,756.2819,385.1155
0.4,360.3836,500.0917,380.0784,-6.40539,7.79847,-4.159353,-2.928161,-38.06671,6.227272,87.65878,82.7841,593.6308,235.9936,593.5805,610.3727,245.9861,539.8982,194.0388,299.3145,695.2875,436.7208,756.1973,385.1976
0.41,360.3072,500.0637,380.0357,-6.426768,7.80548,-4.158711,-2.921194,-38.07067,6.218804,87.6612,82.73724,593.6173,235.9406,593.6674,610.3829,246.0493,539.994,194.0064,299.2174,695.2027,436.6999,756.128,385.1891
0.42,360.1969,500.027,379.9815,-6.288401,7.798609,-4.161721,-3.066602,-38.07584,6.177561,87.65928,82.74184,593.576,235.9186,593.7541,610.4047,246.0381,540.093,193.8886,299.1914,695.1309,436.7003,756.0515,385.2096
0.43,360.1052,499.9985,379.9384,-6.246844,7.788652,-4.168215,-3.126593,-38.05914,6.147927,87.66054,82.72476,593.5406,235.9005,593.8523,610.3454,245.9639,540.2633,193.8622,299.0258,695.0026,436.6015,755.9554,385.2431
0.44,360.0264,500.0081,379.8884,-6.214421,7.797874,-4.162043,-3.169192,-38.08299,6.116904,87.65284,82.76276,593.4564,235.8215,593.8749,610.307,245.9789,540.3549,193.7844,298.9526,694.9457,436.5398,755.8789,385.32
0.45,359.8271,499.9007,379.7447,-6.320093,7.932727,-4.30223,-2.955626,-38.21833,6.281041,87.6752,82.79599,593.4103,235.7922,593.9646,610.3042,245.9855,540.367,193.6466,299.0196,694.8922,436.4323,755.7959,385.4186
0.46,359.5584,499.7966,379.2971,-4.846768,7.333102,-4.178939,-4.674164,-37.69913,5.914605,87.65178,82.7604,593.3177,235.7625,593.9953,610.2088,246.0061,540.431,193.5985,298.9651,694.8592,436.3612,755.7187,385.4237
0.47,359.5009,499.8376,379.2701,-4.904449,7.343202,-4.16272,-4.625939,-37.72297,5.882946,87.65694,82.73382,593.2764,235.745,594.0879,610.161,246.0041,540.4534,193.4819,298.9673,694.8048,436.2912,755.6759,385.4052
0.48,359.4117,499.8369,379.2436,-4.845836,7.352176,-4.170904,-4.684571,-37.73174,5.873179,87.64941,82.78349,593.1721,235.8069,594.0583,610.0624,246.0268,540.4704,193.3924,298.9747,694.7808,436.189,755.6194,385.3961
0.49,359.3369,499.8758,379.2322,-4.850779,7.341093,-4.164569,-4.684894,-37.71038,5.86516,87.65073,82.74735,593.111,235.8532,594.0813,609.9594,246.0374,540.4546,193.2894,299.021,694.7494,436.073,755.6209,385.3885
0.5,359.2797,499.9466,379.2294,-4.801476,7.327927,-4.168951,-4.724549,-37.7008,5.86112,87.64841,82.77438,593.0061,235.9107,594.0044,609.877,246.0909,540.4683,193.1936,299.0465,694.7415,435.9796,755.6237,385.3967
0.51,359.1991,499.9795,379.2058,-4.768659,7.313925,-4.190824,-4.750981,-37.67123,5.887465,87.61785,82.87198,592.9082,236.0009,593.9522,609.7847,246.1383,540.4426,193.0853,299.0833,694.7286,435.8723,755.6284,385.3471
0.52,359.1575,500.0449,379.1926,-4.789517,7.318175,-4.199473,-4.708693,-37.68319,5.909184,87.62859,82.86839,592.8258,236.0778,593.8982,609.6714,246.2158,540.4188,192.9803,299.1669,694.7149,435.7761,755.7038,385.2927
0.53,359.3342,500.2489,379.6404,-5.809404,7.709034,-4.176811,-3.589361,-38.00023,6.023025,87.61028,82.91868,592.7388,236.1753,593.8656,609.5438,246.2557,540.284,192.8918,299.2213,694.7019,435.6333,755.7668,385.2708
0.54,359.2922,500.3017,379.6323,-5.815037,7.705047,-4.185738,-3.580084,-37.99562,6.028224,87.62014,82.98094,592.5824,236.3286,593.666,609.416,246.3042,540.1764,192.8315,299.2415,694.6989,435.5247,755.8512,385.2192
0.55,359.2195,500.3541,379.6691,-5.840426,7.696162,-4.17808,-3.549197,-38.00015,6.013624,87.62187,82.92897,592.5146,236.4883,593.6517,609.2854,246.3899,540.0832,192.679,299.3589,694.6997,435.4524,755.9478,385.083
0.56,359.1887,500.4308,379.6772,-5.90887,7.707147,-4.168779,-3.485533,-38.00635,6.011876,87.62653,82.91522,592.4201,236.6056,593.5728,609.1625,246.4338,539.9776,192.6308,299.358,694.6824,435.3359,756.0291,385.0395
0.57,359.1582,500.5017,379.7019,-5.993995,7.667582,-4.16036,-3.399505,-37.96348,6.020392,87.63492,82.98731,592.2807,236.7324,593.4368,609.0404,246.4826,539.8804,192.4976,299.4585,694.6868,435.1889,756.1116,385.0401
0.58,358.7958,500.3817,379.2288,-4.65259,7.24987,-4.198108,-4.832388,-37.63331,5.869312,87.63768,82.97987,592.1739,236.8227,593.3387,608.9002,246.5326,539.833,192.4298,299.5179,694.688,435.0455,756.2186,384.988
0.59,358.7453,500.4644,379.2485,-4.739749,7.263625,-4.201062,-4.725373,-37.6382,5.903085,87.62975,83.01954,592.0604,236.8768,593.2551,608.8035,246.5948,539.7402,192.323,299.5656,694.6823,434.8698,756.287,384.9573
0.6,358.6899,500.5557,379.2588,-4.669007,7.238312,-4.192916,-4.810419,-37.60898,5.871529,87.61509,83.0259,591.9706,236.9716,593.2172,608.6372,246.5981,539.6757,192.2319,299.5881,694.6547,434.6336,756.3944,384.8987
0.61,358.6105,500.6602,379.2585,-4.678905,7.236883,-4.203192,-4.780422,-37.62015,5.91191,87.62949,83.02896,591.8705,236.9998,593.1601,608.5459,246.7268,539.6063,192.1158,299.6732,694.6442,434.4313,756.5254,384.8181
0.62,358.5583,500.7815,379.2372,-4.677801,7.198485,-4.186476,-4.790571,-37.57066,5.888388,87.63124,82.98837,591.7985,237.1054,593.1388,608.3996,246.7907,539.5382,192.0595,299.793,694.6233,434.1846,756.646,384.7869
